supplier code,BI number,Raw material description SAP,Supplier/Other material name,supplier name
138236,851889,ACS 881076 Light Gray Pigment ,ACS881076 LIGHT GRAY,AMERICAN COLORS INC
138236,859612,ACS71309 Light Tan Pigment ,ACS71309 LIGHT TAN PIGMENT,AMERICAN COLORS INC
138236,936006,ACS21039 YELLOW H4G ,ACS21039 YELLOW COLORANT,AMERICAN COLORS INC
1382681,140468,DIETHANOLAMINE IN,DIETHANOLAMINE IN,RAMANAND KIDERNATH INTER
1382681,140468,Diethanolamine ,DIETHANOLAMINE IN,RAMANAND KIDERNATH INTERNATIONAL
1382681,490546,GLUCOPON 225 DK,Agnique PG 8107 1000KG 31HA1,RAMANAND KIDERNATH INTERNATIONAL
1383796,302177,Lime hydrate CL 90 20KG 5M1,Vapenny hydrat CL 90 VL 20KG 5M1,PRVNÍ STAVEBNÍ CHRUDIM a
1383796,302177,Lime hydrate CL 90 ,Lime hydrate CL 90 20KG 5M1,PRVNÍ STAVEBNÍ CHRUDIM a.s.
1385926,343653,Lime stone very fine VJM 8/V VL ,VAPENEC VJM 10,Krkonošské vápenky
1385926,343653,VAPENEC VJM 10,VAPENEC VJM 10,Krkonošské vápenky
1386302,17372,BAYFERROX 130 M ,Bayferrox 130 M,R A D K A  spol.s r.o. Pardubice
1386302,35365,IRON OXIDE BROWN 2696 ,+,R A D K A  spol.s r.o. Pardubice
1386302,35365,Bayferox 610 hnedy BTC,Bayferox 610 hnedy BTC,R A D K A spol.s r.o. P
1386302,35369,Iron hydroxide oxide yellow ,BAYFERROX 920 (YELLOW),R A D K A  spol.s r.o. Pardubice
1386302,35369,BAYFERROX 920 (YELLOW),BAYFERROX 920 (YELLOW),R A D K A spol.s r.o. P
1386302,79984,Bayferrox 316 ,Bayferrox 316,R A D K A  spol.s r.o. Pardubice
1386302,79984,Bayferrox 316,Bayferox 316 cerny,R A D K A spol.s r.o. P
1386302,155041,Chromium (III) oxide (NAM;BI),CHROMOXIDGREEN GN.,R A D K A  spol.s r.o. Pardubice
1386302,155041,CHROMOXIDGREEN GN.,CHROMOXIDGREEN GN.,R A D K A spol.s r.o. P
1386302,302042,Bayferrox 660 brown ,Bayferox 660 brown 25KG,R A D K A  spol.s r.o. Pardubice
1386302,302042,Bayferox 660 brown 25KG,Bayferox 660 hnedy 25KG,R A D K A spol.s r.o. P
1386302,302173,C.I. Pigment Blue 29 ,Ultramarine blue 08 25KG,R A D K A  spol.s r.o. Pardubice
1386302,302173,Ultramarine blue 08 25KG,Ultramarine blue 08 25KG,R A D K A spol.s r.o. P
1386302,312698,SILRES BS 1306 ,SILRES BS 1306 (EB) 950KG 31HA1,R A D K A  spol.s r.o. Pardubice
1386302,312698,SILRES BS 1306 (EB) 950KG 31HA1,SILRES BS 1306 (EB) 950KG 31HA1,R A D K A spol.s r.o. P
1386302,393952,PREVENTOL P 301 ,PREVENTOL P 301,R A D K A  spol.s r.o. Pardubice
1386302,393952,PREVENTOL P 301,PREVENTOL P 301,R A D K A spol.s r.o. P
1386302,530699,SREP BS 45 ,SREP BS 45 950KG 31HA1,R A D K A  spol.s r.o. Pardubice
1386302,539592,Aqueous solution of Isothiazolinones and (Ethylenedioxid)dimethanol (NAM;BI),PREVENTOL D12 1050KG 31HA1,R A D K A  spol.s r.o. Pardubice
1386302,568085,Silres BS 1340 ,Silres BS 1340,R A D K A  spol.s r.o. Pardubice
1386302,568085,Silres BS 1340 ,SILRES BS 1340 950KG 31HA1,R A D K A  spol.s r.o. Pardubice
1386329,238009,"Cement, alumina, chemicals ",SECAR 71,DITHERM a.s.
1386329,238009,SECAR 71,SECAR 71,DITHERM a.s.
1386424,20460,Sodium olefin sulfonate ,HOSTAPUR OSB,ESOLYT s.r.o.
1386424,20460,HOSTAPUR OSB,Hostapur OSB,ESOLYT s.r.o.
1386424,78604,"Acetic acid ethenyl ester, polymer with ethenol ",Tylovis PVA 25kg 5M1,ESOLYT s.r.o.
1386424,78604,Tylovis PVA 25kg 5M1,Tylovis PVA 25kg 5M1,ESOLYT s.r.o.
1386424,237646,Calcium sulfate ,CALCIUM SULFATE HEMI-HYDRATE,ESOLYT s.r.o.
1386424,237646,CALCIUM SULFATE HEMI-HYDRATE,CASUBI 3000,ESOLYT s.r.o.
1386424,274489,"Starch, 2-hydroxypropyl ether ",TYLOVIS SE7,ESOLYT s.r.o.
1386424,274489,TYLOVIS SE7,Tylovis SE 7,ESOLYT s.r.o.
1386424,321778,Calcium aluminate cement ,ISTRA 40 25KG 5M1,ESOLYT s.r.o.
1386424,321778,ISTRA 40 25KG 5M1,ISTRA 40 25KG 5M1,ESOLYT s.r.o.
1386424,321778,Calcium aluminate cement ,ISTRA 40,ESOLYT s.r.o.
1386424,321778,ISTRA 40,ISTRA 40,ESOLYT s.r.o.
1386424,345613,"Cellulose, 2-hydroxyethyl methyl ether ",TYLOSE MH 6000 YP4 20KG 5M2,ESOLYT s.r.o.
1386424,345613,TYLOSE MH 6000 YP4 20KG 5M2,TYLOSE MH 6000 YP4 20KG 5M2,ESOLYT s.r.o.
1386424,533341,thermal treated pure kaolin ,METAVER I 20KG 5M1,ESOLYT s.r.o.
1386771,302274,"CEM II/A-LL 42,5R","CEM II/A-LL 42,5R",Cement Hranice akciová s
1386771,302274,"CEM II/A-LL 42,5R ","CEM II/A-LL 42,5R",Cement Hranice akciová spole?nost
1386993,259028,SILICA SAND (>63micron) (NAM;BI),QUARTZ SAND 1.6 - 4.0 MM,Provodínské písky a.s.
1386993,259028,QUARTZ SAND 1.6 - 4.0 MM,"PISEK PR 1,6 - 4.0 MM",Provodínské písky a.s.
1386993,302140,Quartz (SiO2) (NAM;BI),SAND PR 35,Provodínské písky a.s.
1386993,302140,SAND PR 35,PISEK PR 35,Provodínské písky a.s.
1386993,302140,Quartz (SiO2) (NAM;BI),SAND PR 30,Provodínské písky a.s.
1386993,302140,SAND PR 30,PISEK PR 30,Provodínské písky a.s.
1386993,321994,"QUARZSAND, diverse ","SAND OS 43 0,1-0,5 mm 50KG 5M1",Provodínské písky a.s.
1386993,321994,"QUARZSAND, diverse ","SAND OS 43 0,1-0,5 mm",Provodínské písky a.s.
1386994,302176,Limestone very fine 9/V,Vapenec VJM 9/V VL,CARMEUSE CZ
1386994,302176,Limestone ,Limestone very fine 9/V,CARMEUSE CZECH REPUBLIC s.r.o.
1386994,343653,Lime stone very fine 8/V,Vapenec VJM 8/V VL,CARMEUSE CZ
1386994,343653,Lime stone very fine VJM 8/V VL ,Lime stone very fine 8/V,CARMEUSE CZECH REPUBLIC s.r.o.
1386995,302176,Limestone ,Limestone very fine 9/V,VÁPENKA VITOŠOV s.r.o.
1386995,302176,Limestone very fine 9/V,Limestone very fine 9/V,VÁPENKA VITOŠOV s.r.o.
1386995,302177,Lime hydrate CL 90 ,Lime hydrate CL 90,VÁPENKA VITOŠOV s.r.o.
1386995,302177,Lime hydrate CL 90,Vapenny hydrat CL 90 VL,VÁPENKA VITOŠOV s.r.o.
1386995,343774,Calcium oxide ,Quick lime CL 90 50KG 5M2,VÁPENKA VITOŠOV s.r.o.
1386995,343774,Quick lime CL 90 50KG 5M2,Vapno CL 90 (CaO-nehasene) 50KG 5M2,VÁPENKA VITOŠOV s.r.o.
1387136,58890,Sodium Polymetaphosphate ,CALGON N 25KG 5H4,"HSH Chemie, s.r.o."
1387136,58890,CALGON N 25KG 5H4,CALGON N 25KG 5H4,"HSH Chemie, s.r.o."
1387136,322068,TER CELL HPMC ,"TER CELL HPMC BCF 30 M PF, SA 25KG 5M2","HSH Chemie, s.r.o."
1387136,322068,"TER CELL HPMC BCF 30 M PF, SA 25KG 5M2","TER CELL HPMC BCF 30 M PF, SA 25KG 5M2","HSH Chemie, s.r.o."
1387136,322068,TER CELL HPMC ,TER CELL HPMC BCF B 75000 S PF 25KG 5M1,"HSH Chemie, s.r.o."
1387136,322068,TER CELL HPMC BCF B 75000 S PF 25KG 5M1,TER CELL HPMC BCF B 75000 S PF 25KG 5M1,"HSH Chemie, s.r.o."
1387136,495600,TEXAPON K 12 PULVER,_Berolan LP-W 1 15KG 5M2,"HSH Chemie, s.r.o."
1387136,9.6E+11,HSH HPMC 30K 25KG 5M2,HSH HPMC 30K 25KG 5M2,"HSH Chemie, s.r.o."
1387308,81609,Acticide MBS ,ACTICIDE MBS 200kg 1H1,BIOTECH Aditiva s.r.o.
1387308,133208,"1,2-benzisothiazol-3(2H)-one; 1,2-benzisothiazolin-3-one 20% aqueous dispersion (NAM;BI)",ACTICIDE BW-20 25KG 3H1,BIOTECH Aditiva s.r.o.
1387308,133208,ACTICIDE BW-20 25KG 3H1,ACTICIDE BW-20 25KG 3H1,BIOTECH Aditiva s.r.o.
1387308,355369,Acticide MKB 3 ,ACTICIDE MKB 3 1000KG 31HA1,BIOTECH Aditiva s.r.o.
1387308,355369,ACTICIDE MKB 3 1000KG 31HA1,Acticide MKB 3 1000KG 31HA1,BIOTECH Aditiva s.r.o.
1387308,399941,Acticide DB 20 ,ACTICIDE DB 20 200KG 1H1,BIOTECH Aditiva s.r.o.
1387308,399941,ACTICIDE DB 20 200KG 1H1,ACTICIDE DB 20 200KG 1H1,BIOTECH Aditiva s.r.o.
1387308,521453,Acticide MKR ,Acticide MKR 30KG PACK.,BIOTECH Aditiva s.r.o.
1387308,266246,Konservierungsmittel A (NAM;BI),ACTICIDE SR 4056 220KG 1H2,BIOTECH Aditiva s.r.o.
1387336,302080,Silicon carbide black ,SILICON CARBIDE F24 0.5-1.18 MM 25KG BAG,"KORUND BENÁTKY, s.r.o."
1387336,302080,SILICON CARBIDE F24 0.5-1.18 MM 25KG BAG,KARBID K?EMÍKU F24 0.5-1.18 MM 25KG BAG,"KORUND BENÁTKY, s.r.o."
1387336,302080,Silicon carbide black ,Silicon carbide black 0 - 2mm 25KG,"KORUND BENÁTKY, s.r.o."
1387336,302080,Silicon carbide black 0 - 2mm 25KG,Karbid kremiku (SiC cerny) 0-2 25KG,"KORUND BENÁTKY, s.r.o."
1387336,354482,Brown Corundum ,ALUMIUNOXIDE F 20 1000KG 5M1,"KORUND BENÁTKY, s.r.o."
1387336,354482,ALUMIUNOXIDE F 20 1000KG 5M1,KORUND HN?DÝ F 20 1000KG 5M1,"KORUND BENÁTKY, s.r.o."
1387479,302175,Limestone milled ,Limestone milled,VÁPENKA VITOUL s.r.o.
1387479,302175,Limestone milled,Vapenec mlety - trideny,VÁPENKA VITOUL s.r.o.
1388091,78482,Hydrated Magnesium Silicate ,PANGEL S9,Omya CZ s.r.o.
1388091,78482,PANGEL S9,Pangel S 9,Omya CZ s.r.o.
1388091,302046,"Carolith 1,0-1,5 mm ","CAROLITH 1,0-1,5 MM VL",Omya CZ s.r.o.
1388091,302046,"CAROLITH 1,0-1,5 MM VL","CAROLITH 1,0-1,5 MM VL",Omya CZ s.r.o.
1388091,302046,"CAROLITH 1,0-1,5 MM 50KG BAG","CAROLITH 1,0-1,5 MM VL 50KG BAG",Omya CZ s.r.o.
1388091,302047,"Carolith 2,0-2,5 mm ","CAROLITH 2,0-2,5 MM 50KG 5M1",Omya CZ s.r.o.
1388091,302047,"CAROLITH 2,0-2,5 MM 50KG 5M1","CAROLITH 2,0-2,5 MM 50KG 5M1",Omya CZ s.r.o.
1388091,302047,"Carolith 2,0-2,5 mm ","CAROLITH 2,0-2,5 MM",Omya CZ s.r.o.
1388091,302047,"CAROLITH 2,0-2,5 MM","CAROLITH 2,0-2,5 MM",Omya CZ s.r.o.
1388091,302099,Limestone ,Omyacarb 02 VA 40KG,Omya CZ s.r.o.
1388091,302099,Omyacarb 02 VA 40KG,Omyacarb 02 VA 40KG,Omya CZ s.r.o.
1388091,302100,Limestone ,Omyacarb 05 VA,Omya CZ s.r.o.
1388091,302100,Omyacarb 05 VA,Omyacarb 05 VA,Omya CZ s.r.o.
1388091,302100,Limestone ,Omyacarb 05 VA 50KG,Omya CZ s.r.o.
1388091,302100,Omyacarb 05 VA 50KG,Omyacarb 05 VA 50KG,Omya CZ s.r.o.
1388091,302101,Limestone ,Omyacarb 15 VA 50KG,Omya CZ s.r.o.
1388091,302101,Omyacarb 15 VA 50KG,Omyacarb 15 VA 50KG,Omya CZ s.r.o.
1388091,302101,Limestone ,Omyacarb 15 VA,Omya CZ s.r.o.
1388091,302101,Omyacarb 15 VA,Omyacarb 15 VA,Omya CZ s.r.o.
1388091,302102,Limestone ,OMYACARB 40 50KG,Omya CZ s.r.o.
1388091,302102,OMYACARB 40 50KG,Omyacarb 40 VA 50KG,Omya CZ s.r.o.
1388091,312923,OMYACARB 130-GU ,RX068121 OMYACARB 130-GU,Omya CZ s.r.o.
1388091,312923,RX068121 OMYACARB 130-GU,RX068121 OMYACARB 130,Omya CZ s.r.o.
1388091,312923,OMYACARB 130-GU ,RX0681210001 OMYACARB 130 GU (50 kg Sack,Omya CZ s.r.o.
1388091,312923,RX0681210001 OMYACARB 130 GU (50 kg Sack,OMYACARB 130  (50 kg Sack),Omya CZ s.r.o.
1388091,563026,Dolomite ,OMYADOL 1-1.5 RB-RO,Omya CZ s.r.o.
1388091,563026,Dolomite ,OMYADOL 10-JA 25KG 5M1,Omya CZ s.r.o.
1388091,711708,Calciumcarbonate GCC fine powder ,OMYACARB EXTRA CL 25KG 5M1,Omya CZ s.r.o.
1388091,841314,Calcium Carbonate (GCC) fine granules (NAM;BI),"CAROLITH 1,5-2,0-VA",Omya CZ s.r.o.
1388091,855007,Calcium Carbonate (GCC) fine granules (NAM;BI),"CAROLITH 0,5-1,0-VA",Omya CZ s.r.o.
1388091,855007,Calcium Carbonate (GCC) fine granules (NAM;BI),"CAROLITH 0,5-1,0-VA 50KG BAG",Omya CZ s.r.o.
1388293,302039,AGITAN P 840 25KG 5M1,AGITAN P 840 25KG 5M1,APPLIED CHEMICALS Handel
1388293,302039,Agitan P 840 ,AGITAN P 840 25KG 5M1,APPLIED CHEMICALS Handels-GmbH
1389805,302229,Calcium Nitrate Solution 35-60% ,CALCIUM NITRATE 50% SOL.,Yara Norge AS
1389805,302229,CALCIUM NITRATE 50% SOL.,CALCIUM NITRATE 50% SOL.,Yara Norge AS
1389838,238006,PORTLAND CEMENT (<2ppm Cr VI) (NAM;BI),CEMENT TYPE I/II,Norcem AS
1389838,238006,CEMENT TYPE I/II,CEMENT TYPE I/II,Norcem AS
1389838,238006,PORTLAND CEMENT (<2ppm Cr VI) (NAM;BI),CEMENT TYPE I,Norcem AS
1389838,238006,CEMENT TYPE I,CEMENT TYPE I,Norcem AS
1390050,238399,Borresperse CAFN,Borresperse CAFN,BORREGAARD AS
1390050,238399,CALCIUM LIGNOSULFONATE LIQUID ,Borresperse CAFN,BORREGAARD AS
1390050,239779,SODIUMLIGNOSULPHONATE LIQUID 45-55% ,BORRESPERSE NAF,BORREGAARD AS
1390050,239779,BORRESPERSE NAF,BORRESPERSE NAF,BORREGAARD AS
1399659,81609,ACTICIDE MBS,ACTICIDE MBS,THOR SPECIALTIES SRL mer
1399659,81609,Acticide MBS ,ACTICIDE MBS,THOR SPECIALTIES SRL merkezi
1399659,97188,BIOBAN™ O 45 ANTIMICROBIAL,BIOBAN™ O 45 ANTIMICROBIAL,THOR SPECIALTIES SRL mer
1399659,97188,Preservation based on 2-Octyl-2H-isothiazol-3-one ,BIOBAN™ O 45 ANTIMICROBIAL,THOR SPECIALTIES SRL merkezi
1399659,237112,ACTICIDE FS (N) 1200kg 31HA 1,ACTICIDE FS (N) 1200kg 31HA 1,THOR SPECIALTIES SRL mer
1399659,237112,ACTICIDE FS(N) (NAM;BI),ACTICIDE FS (N) 1200kg 31HA 1,THOR SPECIALTIES SRL merkezi
1399659,330255,ACTICIDE OF 25 1250KG 31H1,ACTICIDE OF 25 1250KG 31H1,THOR SPECIALTIES SRL mer
1399659,330255,ACTICIDE OF 25 ,ACTICIDE OF 25 1250KG 31H1,THOR SPECIALTIES SRL merkezi
1399659,595219,ACTICIDE OF 2 ,ACTICIDE OF 2 1000KG 31HA1,THOR SPECIALTIES SRL merkezi
1399659,722142,ACTICIDE HF 3 ,ACTICIDE HF 3 1000KG 31HA1,THOR SPECIALTIES SRL merkezi
1400225,132872,NA LIGNOSULPH (TRIGON/KOTLAS),NA LIGNOSULPH (TRIGON/KOTLAS),Lignotech South Africa
1400225,132872,"Lignosulfonic acid, sodium salt ",NA LIGNOSULPH (TRIGON/KOTLAS),Lignotech South Africa
1400225,201357,BORRESPERSE CA-SA Powder 600KG 13H3,BORRESPERSE CA-SA Powder 600KG 13H3,Lignotech South Africa
1400225,201357,BORRESPERSE CA-SA Powder 600KG 13H3,BORRESPERSE CA-SA Powder 600KG 13H3,Lignotech South Africa
1400225,201357,"Lignosulfonic acid, calcium salt ",BORRESPERSE CA-SA Powder 600KG 13H3,Lignotech South Africa
1400225,873384,Wafex CS ,WAFEX CS,Lignotech South Africa
1400304,404622,Carbon black ,N330 CARBON_BLACK,CABOT CORPORATION
1400304,404622,N330 CARBON_BLACK,N330 CARBON_BLACK,CABOT CORPORATION
1400548,259028,"SILICA SAND, OKLAHOMA NO.1","SILICA SAND, OKLAHOMA NO.1",REPRESENTACIONES TECNICA
1400548,259028,SILICA SAND (>63micron) (NAM;BI),"SILICA SAND, OKLAHOMA NO.1",REPRESENTACIONES TECNICAS SA DE CV
140156,301369,"Castor oil, ethoxylated ",FINDET AR/52,KAO Chemicals SA
140156,301369,FINDET AR/52,FINDET AR/52,KAO Chemicals SA
140156,356001,MIGHTY 21 PSN 15KG 5M2,MIGHTY 21 PSN 15KG 5M2,KAO Chemicals SA
140156,356001,MIGHTY 21 PSN ,MIGHTY 21 PSN 15KG 5M2,KAO Chemicals SA
140156,490953,FARMIN DM 2471 ,DIMETHYL COCOAMINE..,KAO Chemicals SA
140156,490953,FARMIN DM 2471 ,FARMIN DM 2471,KAO Chemicals SA
1401833,349119,"sand (2,0-5,0mm) (NAM;BI)","sand (2,0-5,0) 25KG 5M1",OOO NPP ZSK
1403258,274497,"Cement, portland, chemicals ","CEM I 52,5 R PORTLAND CEMENT 25KG 5M1",WIJCKMANS N.V.
1403258,274497,"CEM I 52,5 R PORTLAND CEMENT 25KG 5M1","CEM I 52,5 R PORTLAND CEMENT 25KG 5M1",WIJCKMANS N.V.
1403258,341680,Slag cement CEM III/B ,"CEM III B 42,5 LHHS/ENCI 25KG BAG",WIJCKMANS N.V.
1403290,330659,CEMENT ,CEM III/B 42.5N LH SR,CBR SA
1403290,619361,"Cement, portland, chemicals ",Alicem 1000KG 13H3,CBR SA
1403297,24096,Calcium dihydroxide ,CALCIUM HYDROXIDE CA(OH)2 25KG 5M1,CARMEUSE N.V.
1403297,24096,CALCIUM HYDROXIDE CA(OH)2 25KG 5M1,CALCIUM HYDROXIDE CA(OH)2 25KG 5M1,CARMEUSE N.V.
1403297,24096,Calcium dihydroxide ,CALCIUM HYDROXIDE,CARMEUSE N.V.
1403297,24096,CALCIUM HYDROXIDE,CALCIUM HYDROXIDE,CARMEUSE N.V.
1403297,51870,Calcium carbonate ,CALCIUMCARBONAT 25kg 5M1,CARMEUSE N.V.
1403297,51870,CALCIUMCARBONAT 25kg 5M1,CALCIUMCARBONAT 25kg 5M1,CARMEUSE N.V.
1403318,238004,Natriumgluconat EMF 1240 ,SODIUM GLUCONATE 45% SOL.,JUNGBUNZLAUER B.V.
1403318,238004,SODIUM GLUCONATE 45% SOL.,SODIUM GLUCONATE 45% SOL.,JUNGBUNZLAUER B.V.
1403318,269106,Sodium gluconate ,NATRIUMGLUCONAT FEIN 25kg 5M1,JUNGBUNZLAUER B.V.
1403318,269106,NATRIUMGLUCONAT FEIN 25kg 5M1,NATRIUMGLUCONAT FEIN 25kg 5M1,JUNGBUNZLAUER B.V.
1403318,703525,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, zinc salt, hydrate (2:3:2) (NAM;BI)",ZINC CITRATE X 2H2O 25KG 5M2,JUNGBUNZLAUER B.V.
1403318,703525,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, zinc salt, hydrate (2:3:2) (NAM;BI)",ZINC CITRATE X 2H2O 20KG 5M2,JUNGBUNZLAUER B.V.
1403588,302229,Calcium Nitrate Solution 35-60% ,CALCIUM NITRATE 50% SOL.,EUROLIQUIDS B.V.
1403588,302229,CALCIUM NITRATE 50% SOL.,CALCIUM NITRATE 50% SOL.,EUROLIQUIDS B.V.
1403694,209074,AGITAN 218 140KG 1H1,AGITAN 218 140KG 1H1,MUNZING CHEMIE
1403694,209074,"Blend of liquid hydrocarbons, modified fatty compounds, nonionic emulsifiers with a little silicone ",AGITAN 218 140KG 1H1,MUNZING CHEMIE
1403694,268047,AGITAN P 803 15KG 5M1,AGITAN P 803 15KG 5M1,MUNZING CHEMIE
1403694,268047,AGITAN P803 ,AGITAN P 803 15KG 5M1,MUNZING CHEMIE
1403714,341728,Nickel CVD coated carbon fiber ,NICF TOHO 12K50 CHOPPED 6MM 10KG 5M1,OMNIA  Products LLC
1403714,341728,NICF TOHO 12K50 CHOPPED 6MM 10KG 5M1,NICF TOHO 12K50 CHOPPED 6MM 10KG 5M1,OMNIA Products LLC
1403754,17569,Calcium stearate ,CALCIUM STEARATE S /FACI 20KG 5M1,SAFINO NV
1403754,17569,CALCIUM STEARATE S /FACI 20KG 5M1,CALCIUM STEARATE S /FACI 20KG 5M1,SAFINO NV
1403765,17340,BRAUN EISENOXID 645T 25KG 5M1,BRAUN EISENOXID 645T 25KG 5M1,SCHOLZ BENELUX BV
1403765,17340,BAYFERROX 645 T ,BRAUN EISENOXID 645T 25KG 5M1,SCHOLZ BENELUX BV
1403765,86968,Bayferrox 330 (Bk)/1-QE 73 25KG 5M1,Bayferrox 330 (Bk)/1-QE 73 25KG 5M1,SCHOLZ BENELUX BV
1403765,86968,Bayferrox 330 (Black) (NAM;BI),Bayferrox 330 (Bk)/1-QE 73 25KG 5M1,SCHOLZ BENELUX BV
1403765,128337,ROT EISENOXIDE PIGMENT 130P 25kg 5M1,ROT EISENOXIDE PIGMENT 130P 25kg 5M1,SCHOLZ BENELUX BV
1403765,128337,RED IRON OXIDE 120 NM ,ROT EISENOXIDE PIGMENT 130P 25kg 5M1,SCHOLZ BENELUX BV
1403765,341711,HS 920 PS OXIDEGEEL 20KG 5M1,HS 920 PS OXIDEGEEL 20KG 5M1,SCHOLZ BENELUX BV
1403765,341711,Iron hydroxide oxide yellow ,HS 920 PS OXIDEGEEL 20KG 5M1,SCHOLZ BENELUX BV
1403776,237685,"Quartz Sand MI_0,2-0,8 25KG 5H4","Quartz Sand MI_0,2-0,8 BULK",Sibelco Benelux B.V.
1403776,237685,"Quartz (SiO2) 0,7 MM (NAM;BI)","Quartz Sand MI_0,2-0,8 25KG 5H4",Sibelco Benelux B.V.
1403776,237685,Quartz Sand MI 2-4 25KG 5H4,Quartz Sand MI 2-4 25KG 5H4,Sibelco Benelux B.V.
1403776,237685,"Quartz (SiO2) 0,7 MM (NAM;BI)",Quartz Sand MI 2-4 25KG 5H4,Sibelco Benelux B.V.
1403776,237685,Quartz Sand MI 0.7-1.3 25KG 5H4,Quartz Sand MI 0.7-1.3 BULK 5H4,Sibelco Benelux B.V.
1403776,237685,"Quartz (SiO2) 0,7 MM (NAM;BI)",Quartz Sand MI 0.7-1.3 25KG 5H4,Sibelco Benelux B.V.
1403776,237709,Quartz (SiO2) (NAM;BI),ARENA L 70/80 25kg 5M1,Sibelco Benelux B.V.
1403776,341715,KWARTSZAND S 60 (0.1-0.4MM),KWARTSZAND S 60 (0.1-0.4MM),Sibelco Benelux B.V.
1403776,341715,Quartz (SiO2) (NAM;BI),KWARTSZAND S 60 (0.1-0.4MM),Sibelco Benelux B.V.
1403776,341715,Quartz Sand M32,Quartz Sand M32,Sibelco Benelux B.V.
1403776,341715,Quartz (SiO2) (NAM;BI),Quartz Sand M32,Sibelco Benelux B.V.
1403782,313028,"Ethene, homopolymer ",PE-FASERFULLSTOFF FPE 930 T 10KG 4G,LITHOS (BENELUX) BV
1403782,313028,PE-FASERFULLSTOFF FPE 930 T,PE-FASERFULLSTOFF FPE 930 T,LITHOS (BENELUX) BV
1403782,313028,PE-FASERFULLSTOFF FPE 930 T,PE-FASERFULLSTOFF FPE 930 T,LITHOS (BENELUX) BV
1403782,313028,"Ethene, homopolymer ",PE-FASERFULLSTOFF FPE 930 T,LITHOS (BENELUX) BV
1403933,238733,ELOTEX FX 4310 25KG 5M1,ELOTEX FX 4310 25KG 5M1,Krahn Chemie Benelux B.V
1403933,238733,Vinylacetate copolymer ,ELOTEX FX 4310 25KG 5M1,Krahn Chemie Benelux B.V.
1403933,238734,ELOTEX HD1510 20KG 5M2,ELOTEX HD1510 20KG 5M2,Krahn Chemie Benelux B.V
1403933,238734,Copolymer of vinyl acetate and vinyl versatate ,ELOTEX HD1510 20KG 5M2,Krahn Chemie Benelux B.V.
1403933,830803,ELOTEX FX5600 ,ELOTEX FX5600 20KG 5M2,Krahn Chemie Benelux B.V.
1404287,342970,EISEN BORINGS,EISEN BORINGS,BELGIAN SCRAP TERMINAL N
1404287,342970,IRON BORINGS ,EISEN BORINGS,BELGIAN SCRAP TERMINAL NV
1404430,341753,SIGMA 7-9 25KG 1H2,SIGMA 7-9 25KG 1H2,SAFC Supply Solutions
1404430,341753,Tris(hydroxymethyl)aminomethane (NAM;BI),SIGMA 7-9 25KG 1H2,SAFC Supply Solutions
1407936,237646,CALCIUMSULFATBINDER CAB 30 25kg 5M1,CALCIUMSULFATBINDER CAB 30 25kg 5M1,Baucentrum Rubart GmbH &
1407936,237646,Calcium sulfate ,CALCIUMSULFATBINDER CAB 30 25kg 5M1,Baucentrum Rubart GmbH & Co KG
1407936,237646,CALCIUMSULFATBINDER CAB 30,CALCIUMSULFATBINDER CAB 30,Baucentrum Rubart GmbH &
1407936,237646,Calcium sulfate ,CALCIUMSULFATBINDER CAB 30,Baucentrum Rubart GmbH & Co KG
1408254,17569,CALCIUM STEARAT,CALCIUM STEARAT,Morgan Chemical Factorie
1408254,17569,Calcium stearate ,CALCIUM STEARAT,Morgan Chemical Factories
1408254,63730,"STARCH, BASE POTATO AERO-MYL","STARCH, BASE POTATO AERO-MYL",Morgan Chemical Factorie
1408254,63730,Potato Starch ,"STARCH, BASE POTATO AERO-MYL",Morgan Chemical Factories
1408254,66064,TARTARIC ACID - Food Grade,TARTARIC ACID - Food Grade,Morgan Chemical Factorie
1408254,66064,L-(+)-Tartaric Acid (NAM;BI),TARTARIC ACID - Food Grade,Morgan Chemical Factories
1408254,80769,TALC POWDER - JP MICRO,TALC POWDER - JP MICRO,Morgan Chemical Factorie
1408254,80769,Talc ,TALC POWDER - JP MICRO,Morgan Chemical Factories
1408254,124243,AMMONIA SOLUTION,AMMONIA SOLUTION,Morgan Chemical Factorie
1408254,124243,AQUA AMMONIA 26 DEG ,AMMONIA SOLUTION,Morgan Chemical Factories
1408254,266867,CALCIUM FORMATE (EB),CALCIUM FORMATE (EB),Morgan Chemical Factorie
1408254,266867,Calcium formate ,CALCIUM FORMATE (EB),Morgan Chemical Factories
1408254,528143,"2,2',2''-Nitrilotriethanol 85% ",TRIETHANOLAMINE,Morgan Chemical Factories
1408260,139098,TEGO Airex 901 W ,TEGO ANTIFOAM MR2132 25kg 3H1,Evonik Industries AG
1408260,266200,Sitren MR 870 ,SITREN MR 870 900KG 31HA1,Evonik Industries AG
1408260,266200,Sitren MR 870 ,SITREN MR 870,Evonik Industries AG
1408260,266200,SITREN MR 870,SITREN MR 870,Evonik Industries AG
1408260,266200,SITREN MR 870,SITREN MR 870,Evonik Industries AG
1408260,266200,SITREN MR 870,SITREN MR 870,Evonik Industries AG
1408260,305676,Emulsion of organo-modified polysiloxanes ,SITREN AIRVOID 307 1000KG 31HA1,Evonik Industries AG
